Manufacturer
A. Uberti
Accles & Shelvoke
Accuracy Inter'l
ADC
Adcor Defense
Advanced Armament
Aegis Malinnov
AEK
American Derringer
Anderson MFG
Anschütz
Arctiier
ArmaLite
Armi Dallera
Arms Tech
Armscor
Arsenal
ASAI AG
B&T
Baikal
Barrett
Bb
BCM
Benelli
Beretta
Bergara
Bersa
Blaser
Bleiker
Boito
Bond Arms
Boss & Co.
Browning
BSA
BUL Armory
Bushmaster
C.G. Haenel
Cadex Defence
Calico
Canik
Century Inter'l
Charter Arms
Chiappa
Christensen Arms
Colt
Colt Canada
Cosmi Americo
CVA
CZ
Daniel Defense
Davide Pedersoli
Defend ID
Defense Dis
Denel Land
Desert Tech
Detroit Gun Works
DPMS Panther
FAMAE
Feinwerkbau
Ferfrans
FM
FN
Franchi
Freedom Arms
Gallyon Gun
German Sport Guns
Girsan
Glock
Government Arsenal
Griffin & Howe
Grünig + Elmiger
H&K
H&R Arms
Haenel
Hämmerli
Hartmann & Weiss
Hellenic Defence
Henry
Heym
Hi-Point Firearms
Holland & Holland
Horizon Firearms
Howa
HS
IMBEL
Indo-Russia Rifles
Infinity Firearms
Ithaca
IWI
IZh [N 1]
J. G. Anschütz
J. Roberts & Son
JA Industries
James Purdey
Janz
John Dickson
John Rigby
Kahr
Kalashnikov
Kel-Tec
Keppeler
Kimber
Korth
Krieghoff
L'Atelier Verney-Carron
Lazzeroni
Les Baer
Lewis Machine
Lithgow Arms
Ljutic Industries
Lobaev Arms
Loppo
Ludwig Schiwy
LWRC International
Lynx Rifles
Magnum Research
Magtech
Manurhin
Marlin Firearms
Mauser
McMillan Firearms
McWhorter Rifles
Mecar
Merkel
Milkor
Miroku Corp.
Montana Rifle
Morini
Mossberg
MP
MTs
Musgrave
Nighthawk
Norinco
North American Arms
Noveske Rifleworks
ORSIS
OTs
Özyurt Arms
Pakistan Ord
Pardini Arms
Patriot Ord
Perazzi
PGM Précision
Phoenix Arms
Pindad
Proarms
Productos Mendoza
PSA
Remington
Rieder + Lenz
RISE Armament
Robinson Arm
Rock River Arms
Röhm Gesellschaft
Rossi
Rößler
RPC Fort
Ruger
S&T Motiv
S&W
SAKO
Santa Bárbara Sistemas
Sarsılmaz
Savage
SCCY
Schultz & Larsen
Seekins Precision
Seraphim Armoury
Serbu Firearms
Shadow Systems
Shiloh Rifle MFG
Show Low MFG
SIG Sauer
Sipahi
SME Ordnance
Smith & Wesson
Springfield
SR
SSK Industries
SSS Defence
Staccato
Stag Arms
Standard MFG
Stevens Arms
Steyr
STI International
Stoeger Industries
Strayer Voigt Inc
SWORD Int'l
Tanfoglio
Tanner Sportwaffen
Taurus
Thompson
Tikka
Tisaş Arms
TOZ
Troy Industries
Truvelo
U.S. Ordnance
Ugartechea
United Defense MFG
Uronen Precision
UWS
Voere
W. W. Greener
Walther Arms
Weatherby
Webley & Scott
Weihrauch
Westley Richards
Wilson Combat
Winchester
XADS
XCalibur/Grand Power
Zakłady Mechaniczne
Zastava Arms
Zbrojovka Brno
Zbroyar
Zenith Firearms
Ziegenhahn
Other
