Type
n/a
Ballistic Tip
Birdshot
Boat Tail
Bonded Tip
Buckshot
FMJ
Frangible
FTX
JHP
Hardcast
HP
Interlock
Monoflex
Monolithic
Polymer Tip
Rifled Slug
SP
Sabot Slug
Silvertip
Subsonic
Wadcutter
Other

